time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-24 00:00:00,121.337,121.117,121.477,121.163,120.944,121.302,242.735,242.222,242.939,0.014,0.02,0.016,0.015,0.02
2022-08-24 00:02:27,121.322,121.16,121.481,121.149,120.986,121.308,242.727,242.34,243.032,0.015,0.021,0.017,0.014,0.02
2022-08-24 00:07:24,121.33,121.125,121.48,121.157,120.951,121.307,242.699,242.396,242.928,0.016,0.019,0.017,0.014,0.02
2022-08-24 00:12:25,121.232,121.044,121.381,121.059,120.871,121.205,242.537,242.269,242.784,0.015,0.018,0.018,0.014,0.021
2022-08-24 00:17:26,121.216,121.018,121.361,121.042,120.846,121.188,242.465,242.242,242.76,0.016,0.018,0.016,0.014,0.02
2022-08-24 00:22:27,121.176,120.907,121.382,121.003,120.734,121.208,242.392,241.92,242.692,0.013,0.019,0.016,0.015,0.02
2022-08-24 00:27:24,121.049,120.803,121.174,120.876,120.631,121.001,242.2,241.735,242.559,0.013,0.021,0.018,0.015,0.019
2022-08-24 00:32:25,121.145,120.975,121.3,120.973,120.801,121.125,242.315,241.815,242.541,0.017,0.018,0.017,0.014,0.019
2022-08-24 00:37:26,121.059,120.688,121.21,120.885,120.517,121.037,242.156,241.552,242.445,0.015,0.018,0.016,0.014,0.022
2022-08-24 00:42:27,120.948,120.647,121.199,120.776,120.475,121.024,241.917,241.256,242.257,0.015,0.019,0.015,0.014,0.02
2022-08-24 00:47:24,120.779,120.462,120.99,120.606,120.29,120.817,241.59,241.133,241.903,0.015,0.017,0.015,0.014,0.02
2022-08-24 00:52:25,120.741,120.486,121.046,120.569,120.314,120.873,241.511,240.977,241.96,0.014,0.018,0.017,0.014,0.019
2022-08-24 00:57:26,120.853,120.519,121.179,120.681,120.347,121.006,241.755,241.147,242.261,0.015,0.018,0.016,0.015,0.02
2022-08-24 01:02:27,121.211,120.765,121.444,121.038,120.592,121.27,242.471,241.796,242.813,0.015,0.018,0.016,0.014,0.019
2022-08-24 01:07:24,121.333,121.135,121.474,121.16,120.963,121.3,242.703,242.326,242.932,0.014,0.017,0.016,0.014,0.02
2022-08-24 01:12:25,121.227,120.913,121.383,121.053,120.741,121.209,242.495,241.97,242.735,0.014,0.02,0.017,0.014,0.02
2022-08-24 01:17:26,121.275,121.042,121.409,121.102,120.87,121.236,242.602,242.207,242.814,0.014,0.018,0.017,0.014,0.02
2022-08-24 01:22:27,121.133,121.011,121.305,120.96,120.838,121.132,242.334,242.049,242.557,0.016,0.018,0.017,0.014,0.019
2022-08-24 01:27:24,121.089,120.888,121.244,120.916,120.715,121.071,242.239,241.652,242.436,0.015,0.019,0.016,0.015,0.02
2022-08-24 01:32:25,121.041,120.865,121.233,120.869,120.692,121.061,242.149,241.824,242.555,0.014,0.021,0.017,0.015,0.02
2022-08-24 01:37:26,120.995,120.787,121.197,120.822,120.614,121.022,242.03,241.679,242.287,0.016,0.019,0.015,0.015,0.02
2022-08-24 01:42:27,120.982,120.782,121.167,120.809,120.61,120.994,242.003,241.612,242.216,0.016,0.018,0.016,0.014,0.02
2022-08-24 01:47:24,120.928,120.585,121.202,120.754,120.413,121.028,241.907,241.357,242.373,0.016,0.021,0.016,0.014,0.019
2022-08-24 01:52:25,120.965,120.729,121.169,120.791,120.555,120.995,241.96,241.646,242.251,0.014,0.018,0.017,0.014,0.019
2022-08-24 01:57:26,120.967,120.776,121.183,120.791,120.601,121.008,241.957,241.681,242.246,0.015,0.019,0.016,0.014,0.024
2022-08-24 02:02:27,121.044,120.743,121.272,120.868,120.57,121.096,242.168,241.613,242.557,0.015,0.019,0.016,0.014,0.021
2022-08-24 02:07:24,121.119,120.827,121.265,120.944,120.652,121.091,242.246,241.75,242.558,0.015,0.018,0.016,0.015,0.02
2022-08-24 02:12:25,121.007,120.84,121.259,120.832,120.666,121.083,242.078,241.777,242.509,0.013,0.018,0.015,0.014,0.019
2022-08-24 02:17:26,121.101,120.937,121.243,120.925,120.762,121.068,242.235,241.998,242.448,0.016,0.019,0.016,0.014,0.019
2022-08-24 02:22:27,120.998,120.768,121.205,120.824,120.594,121.029,242.051,241.758,242.39,0.014,0.019,0.016,0.014,0.018
