time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-25 00:00:00,118.575,116.428,120.095,118.54,116.389,120.054,237.27,233.165,240.185,0.007,0.013,0.01,0.004,0.015
2022-08-25 00:03:59,114.952,112.927,120.067,114.918,112.889,120.034,230.102,226.321,240.175,0.007,0.011,0.009,0.005,0.011
2022-08-25 00:09:00,120.01,119.919,120.096,119.973,119.885,120.062,240.159,240.123,240.198,0.006,0.015,0.009,0.004,0.017
2022-08-25 00:14:01,119.863,118.928,120.096,119.827,118.891,120.059,239.857,238.108,240.194,0.007,0.012,0.007,0.004,0.012
2022-08-25 00:18:59,116.783,114.515,119.056,116.747,114.476,119.017,233.686,229.25,238.119,0.008,0.013,0.008,0.004,0.013
2022-08-25 00:24:00,113.348,112.927,114.588,113.313,112.887,114.551,226.977,226.315,229.231,0.008,0.011,0.009,0.004,0.013
2022-08-25 00:29:01,117.008,112.928,120.094,116.975,112.896,120.062,234.25,226.311,240.186,0.011,0.014,0.007,0.004,0.013
2022-08-25 00:34:02,119.31,117.554,120.093,119.272,117.512,120.054,238.732,235.1,240.195,0.007,0.014,0.009,0.004,0.013
2022-08-25 00:38:58,115.48,113.428,117.531,115.445,113.393,117.498,231.132,227.294,235.149,0.008,0.012,0.009,0.004,0.013
2022-08-25 00:44:00,113.862,112.925,120.093,113.83,112.887,120.059,228.039,226.307,240.189,0.008,0.013,0.009,0.004,0.014
2022-08-25 00:49:01,120.012,119.92,120.096,119.976,119.886,120.065,240.162,240.127,240.198,0.009,0.014,0.005,0.005,0.012
2022-08-25 00:54:01,117.845,115.553,119.953,117.811,115.517,119.915,235.797,231.162,240.184,0.007,0.012,0.008,0.004,0.012
2022-08-25 00:58:58,115.416,112.927,120.091,115.379,112.897,120.055,231.061,226.279,240.191,0.009,0.013,0.007,0.004,0.014
2022-08-25 01:03:59,119.698,117.923,120.096,119.661,117.89,120.062,239.528,236.122,240.301,0.008,0.017,0.01,0.004,0.012
2022-08-25 01:09:00,114.181,110.435,117.983,114.146,110.399,117.95,228.619,221.601,236.144,0.01,0.012,0.008,0.004,0.013
2022-08-25 01:14:01,115.017,108.928,120.097,114.983,108.891,120.059,230.337,218.419,240.198,0.009,0.013,0.008,0.004,0.013
2022-08-25 01:18:58,117,113.477,120.096,116.964,113.448,120.061,234.149,227.297,240.218,0.007,0.015,0.006,0.004,0.013
2022-08-25 01:23:59,110.333,108.93,113.587,110.299,108.898,113.552,221.1,218.415,227.285,0.008,0.012,0.007,0.004,0.014
2022-08-25 01:29:01,117.056,108.925,120.095,117.021,108.893,120.06,234.349,218.418,240.192,0.007,0.016,0.006,0.004,0.012
2022-08-25 01:34:02,116.601,113.009,120.082,116.565,112.979,120.043,233.344,226.317,240.198,0.008,0.011,0.008,0.003,0.014
2022-08-25 01:38:58,114.372,109.01,120.09,114.335,108.983,120.06,229.105,218.418,240.184,0.006,0.013,0.007,0.004,0.013
2022-08-25 01:43:59,118.775,115.925,120.096,118.739,115.889,120.058,237.671,232.17,240.197,0.008,0.012,0.007,0.005,0.013
2022-08-25 01:49:00,112.156,108.975,115.589,112.123,108.951,115.552,224.67,218.419,231.178,0.008,0.012,0.008,0.004,0.013
2022-08-25 01:56:03,111.663,0.091,120.222,111.62,0,120.181,223.484,0.122,240.52,0.944,18.537,0.945,0.006,18.536
2022-08-25 02:01:04,119.979,119.619,120.163,119.938,119.583,120.122,240.083,239.258,240.453,0.3,17.573,0.3,0.032,17.572
2022-08-25 02:06:05,119.85,119.458,120.085,119.807,119.415,120.044,239.795,239.138,240.132,0.884,1.494,0.884,0.033,1.494
2022-08-25 02:11:02,119.731,119.452,120.022,119.688,119.409,119.979,239.59,239.17,240.085,1.551,1.697,1.551,1.372,1.697
2022-08-25 02:16:03,119.759,119.528,120.026,119.716,119.484,119.982,239.638,239.101,240.147,1.754,1.82,1.754,1.703,1.82
2022-08-25 02:21:04,119.839,119.58,120.016,119.796,119.537,119.972,239.784,239.326,240.092,1.817,1.845,1.817,1.815,1.845
2022-08-25 02:26:05,119.735,119.512,119.912,119.692,119.469,119.87,239.572,239.121,239.866,1.831,1.849,1.831,1.828,1.849
2022-08-25 02:31:02,119.67,119.501,119.9,119.626,119.456,119.857,239.48,239.126,239.827,1.848,1.872,1.848,1.846,1.872
2022-08-25 02:36:03,119.712,119.484,119.915,119.669,119.44,119.872,239.511,239.256,239.877,1.864,1.879,1.864,1.861,1.878
2022-08-25 02:41:04,120.066,119.345,120.624,120.023,119.302,120.578,240.295,238.908,241.267,1.88,1.886,1.88,1.871,1.886
2022-08-25 02:46:05,120.36,120.157,120.569,120.316,120.113,120.526,240.87,240.542,241.139,1.882,1.897,1.882,1.88,1.897
2022-08-25 02:51:02,120.319,120.066,120.523,120.275,120.022,120.478,240.773,240.32,241.135,1.893,1.908,1.893,1.892,1.908
2022-08-25 02:56:03,120.433,120.287,120.551,120.39,120.243,120.507,240.993,240.732,241.194,1.905,1.918,1.905,1.902,1.918
2022-08-25 03:01:04,120.47,120.225,120.702,120.428,120.183,120.66,241.096,240.677,241.579,0.385,1.92,0.385,0.032,1.92
2022-08-25 03:06:05,120.749,120.398,120.977,120.707,120.356,120.935,241.673,240.925,242.177,0.033,0.034,0.034,0.031,0.035
2022-08-25 03:11:02,120.686,120.492,120.867,120.645,120.451,120.824,241.532,241.144,241.851,0.032,0.034,0.032,0.032,0.035
2022-08-25 03:16:03,120.717,120.6,120.917,120.675,120.56,120.875,241.592,241.374,241.915,0.032,0.035,0.033,0.032,0.035
2022-08-25 03:21:04,120.726,120.464,120.869,120.684,120.423,120.827,241.601,241.142,241.994,0.034,0.034,0.033,0.031,0.035
2022-08-25 03:26:05,120.664,120.487,120.864,120.622,120.443,120.822,241.52,241.268,241.785,0.032,0.035,0.033,0.032,0.036
2022-08-25 03:31:06,120.672,120.402,120.84,120.63,120.36,120.798,241.502,241.054,241.774,0.032,0.034,0.033,0.032,0.035
2022-08-25 03:36:03,120.623,120.515,120.724,120.581,120.473,120.682,241.414,241.212,241.589,0.032,0.034,0.032,0.031,0.035
2022-08-25 03:41:04,120.572,120.387,120.749,120.531,120.346,120.707,241.286,240.873,241.614,0.033,0.034,0.033,0.032,0.035
2022-08-25 03:46:05,120.585,120.458,120.757,120.543,120.416,120.716,241.365,241.156,241.581,0.032,0.034,0.032,0.032,0.035
2022-08-25 03:51:06,120.516,120.326,120.751,120.474,120.282,120.709,241.181,240.944,241.502,0.032,0.036,0.032,0.032,0.034
