time,Real (W),Reactive (VAR),Power Factor
2022-08-26 00:00:00,0,0,0
2022-08-26 00:04:48,12.1119,0.252472,0.999783
2022-08-26 00:09:49,0,0,0
2022-08-26 00:14:50,0,0,0
2022-08-26 00:19:47,0,0,0
2022-08-26 00:24:49,0,0,0
2022-08-26 00:29:50,0,0,0
2022-08-26 00:34:51,0,0,0
2022-08-26 00:39:48,0,0,0
2022-08-26 00:44:49,0,0,0
2022-08-26 00:49:50,0,0,0
2022-08-26 00:54:51,0,0,0
2022-08-26 00:59:48,0,0,0
2022-08-26 01:04:49,0,0,0
2022-08-26 01:09:50,0,0,0
2022-08-26 01:14:51,0,0,0
2022-08-26 01:19:48,0,0,0
2022-08-26 01:24:49,0,0,0
2022-08-26 01:29:50,0,0,0
2022-08-26 01:34:51,0,0,0
2022-08-26 01:39:48,0,0,0
2022-08-26 01:44:49,0,0,0
2022-08-26 01:49:50,0,0,0
2022-08-26 01:54:51,0,0,0
2022-08-26 01:59:48,0,0,0
2022-08-26 02:04:49,0,0,0
2022-08-26 02:09:50,0,0,0
2022-08-26 02:14:51,0,0,0
2022-08-26 02:19:48,0,0,0
2022-08-26 02:24:49,0,0,0
2022-08-26 02:29:50,0,0,0
2022-08-26 02:34:51,0,0,0
2022-08-26 02:39:48,0,0,0
2022-08-26 02:44:49,0,0,0
2022-08-26 02:49:50,0,0,0
2022-08-26 02:54:51,0,0,0
2022-08-26 02:59:48,0,0,0
2022-08-26 03:04:49,0,0,0
2022-08-26 03:09:50,0,0,0
2022-08-26 03:14:51,0,0,0
2022-08-26 03:19:48,0,0,0
2022-08-26 03:24:49,0,0,0
2022-08-26 03:29:50,0,0,0
2022-08-26 03:34:51,0,0,0
2022-08-26 03:39:48,0,0,0
2022-08-26 03:44:49,0,0,0
2022-08-26 03:49:50,0,0,0
2022-08-26 03:54:51,0,0,0
2022-08-26 03:59:48,0,0,0
2022-08-26 04:04:49,0,0,0
2022-08-26 04:09:51,0,0,0
2022-08-26 04:14:52,0,0,0
2022-08-26 04:19:48,0,0,0
2022-08-26 04:24:49,0,0,0
2022-08-26 04:29:50,0,0,0
2022-08-26 04:34:51,0,0,0
2022-08-26 04:39:48,0,0,0
2022-08-26 04:44:49,0,0,0
2022-08-26 04:49:50,0,0,0
2022-08-26 04:54:51,0,0,0
2022-08-26 04:59:48,0,0,0
2022-08-26 05:04:49,0,0,0
2022-08-26 05:09:50,0,0,0
2022-08-26 05:14:51,0,0,0
2022-08-26 05:19:51,0,0,0
2022-08-26 05:24:49,0,0,0
2022-08-26 05:29:50,0,0,0
2022-08-26 05:34:51,0,0,0
2022-08-26 05:39:52,0,0,0
2022-08-26 05:44:49,0,0,0
2022-08-26 05:49:50,0,0,0
2022-08-26 05:54:51,0,0,0
2022-08-26 05:59:52,0,0,0
2022-08-26 06:04:49,0,0,0
2022-08-26 06:09:50,0,0,0
2022-08-26 06:14:51,0,0,0
2022-08-26 06:19:52,0,0,0
2022-08-26 06:24:49,0,0,0
2022-08-26 06:29:50,0,0,0
2022-08-26 06:34:51,0,0,0
2022-08-26 06:39:52,0,0,0
2022-08-26 06:44:49,0,0,0
2022-08-26 06:49:50,0,0,0
2022-08-26 06:54:51,0,0,0
2022-08-26 06:59:52,0,0,0
2022-08-26 07:04:49,0,0,0
2022-08-26 07:09:50,0,0,0
2022-08-26 07:14:51,0,0,0
2022-08-26 07:19:48,0,0,0
2022-08-26 07:24:49,0,0,0
2022-08-26 07:29:50,0,0,0
2022-08-26 07:34:51,0,0,0
2022-08-26 07:39:52,0,0,0
2022-08-26 07:44:49,0,0,0
2022-08-26 07:49:50,0,0,0
2022-08-26 07:54:51,0,0,0
2022-08-26 07:59:52,0,0,0
2022-08-26 08:04:49,0,0,0
2022-08-26 08:09:50,0,0,0
2022-08-26 08:14:51,0,0,0
2022-08-26 08:19:52,0,0,0
2022-08-26 08:24:49,0,0,0
2022-08-26 08:29:50,0,0,0
2022-08-26 08:34:51,0,0,0
2022-08-26 08:39:52,0,0,0
2022-08-26 08:44:49,0,0,0
