time,Real (W),Reactive (VAR),Power Factor
2022-08-24 00:00:00,0,-6.67378,0
2022-08-24 00:02:24,0,-6.64577,0
2022-08-24 00:07:25,0,-6.66788,0
2022-08-24 00:12:26,0,-6.66027,0
2022-08-24 00:17:27,0,-6.68024,0
2022-08-24 00:22:24,0,-6.63108,0
2022-08-24 00:27:25,0,-6.64559,0
2022-08-24 00:32:26,0,-6.65072,0
2022-08-24 00:37:26,0,-6.66632,0
2022-08-24 00:42:24,0,-6.60695,0
2022-08-24 00:47:25,0,-6.61454,0
2022-08-24 00:52:26,0,-6.60645,0
2022-08-24 00:57:27,0,-6.61944,0
2022-08-24 01:02:24,0,-6.65703,0
2022-08-24 01:07:25,0,-6.67068,0
2022-08-24 01:12:26,0,-6.66272,0
2022-08-24 01:17:27,0,-6.66379,0
2022-08-24 01:22:24,0,-6.6534,0
2022-08-24 01:27:25,0,-6.6442,0
2022-08-24 01:32:26,0,-6.63971,0
2022-08-24 01:37:27,0,-6.63613,0
2022-08-24 01:42:24,0,-6.6342,0
2022-08-24 01:47:25,236.889,105.413,0.913626
2022-08-24 01:52:26,360.325,131.353,0.939521
2022-08-24 01:57:27,406.624,137.261,0.947474
2022-08-24 02:02:24,416.472,138.503,0.948903
2022-08-24 02:07:25,416.588,137.603,0.949541
2022-08-24 02:12:26,421.745,138.25,0.950248
2022-08-24 02:17:27,425.964,138.992,0.95067
2022-08-24 02:22:25,428.653,139.334,0.95102
2022-08-24 02:27:26,431.171,139.424,0.951492
2022-08-24 02:32:27,433.935,139.823,0.951809
2022-08-24 02:37:28,436.953,140.195,0.95219
2022-08-24 02:42:25,67.6388,31.9015,0.90445
2022-08-24 02:47:26,0,-6.64779,0
2022-08-24 02:52:27,0,-6.63795,0
2022-08-24 02:57:28,0,-6.64216,0
2022-08-24 03:02:25,0,-6.66018,0
2022-08-24 03:07:26,0,-6.6654,0
2022-08-24 03:12:27,0,-6.64818,0
2022-08-24 03:17:28,0,-6.63112,0
2022-08-24 03:22:25,0,-6.68058,0
2022-08-24 03:27:26,0,-6.64452,0
2022-08-24 03:32:27,0,-6.65811,0
2022-08-24 03:37:24,0,-6.66608,0
2022-08-24 03:42:25,0,-6.65542,0
2022-08-24 03:47:26,0,-6.65022,0
2022-08-24 03:52:27,0,-6.64464,0
2022-08-24 03:57:24,0,-6.6406,0
2022-08-24 04:02:25,0,-6.68091,0
2022-08-24 04:07:26,0,-6.71536,0
2022-08-24 04:12:27,0,-6.71045,0
2022-08-24 04:17:24,0,-6.70992,0
2022-08-24 04:22:26,0,-6.70657,0
2022-08-24 04:27:27,0,-6.73111,0
2022-08-24 04:32:28,0,-6.71393,0
2022-08-24 04:37:24,0,-6.595,0
2022-08-24 04:42:26,0,-6.56865,0
2022-08-24 04:47:27,0,-6.61469,0
2022-08-24 04:52:28,0,-6.64121,0
2022-08-24 04:57:25,0,-6.60693,0
2022-08-24 05:02:26,0,-6.61141,0
2022-08-24 05:07:27,0,-6.61651,0
2022-08-24 05:12:28,0,-6.63296,0
2022-08-24 05:17:24,0,-6.6538,0
2022-08-24 05:22:25,0,-6.64156,0
2022-08-24 05:27:26,0,-6.65565,0
2022-08-24 05:32:27,0,-6.67716,0
2022-08-24 05:37:24,0,-6.69109,0
2022-08-24 05:42:25,0,-6.69158,0
2022-08-24 05:47:27,0,-6.67023,0
2022-08-24 05:52:28,0,-6.68935,0
2022-08-24 05:57:24,0,-6.72488,0
2022-08-24 06:02:25,0,-6.71352,0
2022-08-24 06:07:26,0,-6.70931,0
2022-08-24 06:12:27,0,-6.70047,0
2022-08-24 06:17:25,0,-6.69585,0
2022-08-24 06:22:26,0,-6.7246,0
2022-08-24 06:27:27,0,-6.7334,0
2022-08-24 06:32:28,0,-6.70255,0
2022-08-24 06:37:23,0,-6.72027,0
2022-08-24 06:42:25,0,-6.65123,0
2022-08-24 06:47:26,0,-6.67843,0
2022-08-24 06:52:27,0,-6.6955,0
2022-08-24 06:57:24,0,-6.69267,0
2022-08-24 07:02:25,0,-6.69822,0
2022-08-24 07:07:26,0,-6.70322,0
2022-08-24 07:12:27,0,-6.71506,0
2022-08-24 07:17:24,0,-6.71902,0
2022-08-24 07:22:25,0,-6.72657,0
2022-08-24 07:27:26,0,-6.70952,0
2022-08-24 07:32:27,0,-6.70273,0
2022-08-24 07:37:24,0,-6.70967,0
2022-08-24 07:42:25,0,-6.6818,0
2022-08-24 07:47:26,0,-6.63719,0
2022-08-24 07:52:27,0,-6.6426,0
2022-08-24 07:57:24,0,-6.64635,0
2022-08-24 08:02:25,0,-6.62882,0
2022-08-24 08:07:26,0,-6.62656,0
2022-08-24 08:12:27,0,-6.63469,0
2022-08-24 08:17:28,0,-6.62618,0
2022-08-24 08:22:25,0,-6.60796,0
2022-08-24 08:27:26,0,-6.6251,0
2022-08-24 08:32:27,0,-6.62914,0
2022-08-24 08:37:28,0,-6.64905,0
2022-08-24 08:42:25,0,-6.63035,0
2022-08-24 08:47:26,0,-6.65418,0
2022-08-24 08:52:27,0,-6.69612,0
2022-08-24 08:57:28,0,-6.66809,0
2022-08-24 09:02:25,0,-6.71767,0
2022-08-24 09:07:26,0,-6.6938,0
2022-08-24 09:12:27,0,-6.69361,0
2022-08-24 09:17:28,0,-6.70016,0
2022-08-24 09:22:25,0,-6.69887,0
2022-08-24 09:27:26,0,-6.71176,0
2022-08-24 09:32:27,0,-6.70767,0
2022-08-24 09:37:28,0,-6.70377,0
2022-08-24 09:42:25,0,-6.70314,0
2022-08-24 09:47:26,0,-6.71615,0
2022-08-24 09:52:27,0,-6.71361,0
2022-08-24 09:57:28,0,-6.72295,0
2022-08-24 10:02:25,0,-6.73573,0
2022-08-24 10:07:26,0,-6.69144,0
2022-08-24 10:12:27,0,-6.70168,0
2022-08-24 10:17:28,0,-6.68793,0
2022-08-24 10:22:25,0,-6.71662,0
2022-08-24 10:27:26,0,-6.69529,0
2022-08-24 10:32:27,0,-6.70343,0
2022-08-24 10:37:28,0,-6.68533,0
2022-08-24 10:42:25,0,-6.73638,0
2022-08-24 10:47:26,0,-6.71882,0
2022-08-24 10:52:27,0,-6.72503,0
2022-08-24 10:57:28,0,-6.73923,0
2022-08-24 11:02:25,0,-6.74094,0
2022-08-24 11:07:26,0,-6.72032,0
2022-08-24 11:12:27,0,-6.76579,0
2022-08-24 11:17:28,0,-6.71931,0
2022-08-24 11:22:25,0,-6.77444,0
2022-08-24 11:27:26,0,-6.7375,0
2022-08-24 11:32:27,0,-6.75637,0
2022-08-24 11:37:28,0,-6.76759,0
2022-08-24 11:42:25,0,-6.79369,0
2022-08-24 11:47:26,0,-6.75598,0
2022-08-24 11:52:27,0,-6.78778,0
2022-08-24 11:57:28,0,-6.69742,0
2022-08-24 12:02:25,0,-6.67444,0
2022-08-24 12:07:26,0,-6.70562,0
2022-08-24 12:12:27,0,-6.6765,0
2022-08-24 12:17:28,0,-6.67858,0
2022-08-24 12:22:25,0,-6.65061,0
2022-08-24 12:27:26,0,-6.70253,0
2022-08-24 12:32:27,0,-6.67844,0
2022-08-24 12:37:28,0,-6.67935,0
2022-08-24 12:42:25,0,-6.65597,0
2022-08-24 12:47:26,0,-6.67807,0
2022-08-24 12:52:26,0,-6.70001,0
2022-08-24 12:57:27,0,-6.71187,0
2022-08-24 13:02:25,0,-6.6564,0
2022-08-24 13:07:26,0,-6.71604,0
2022-08-24 13:12:27,0,-6.6826,0
2022-08-24 13:17:28,0,-6.65796,0
2022-08-24 13:22:25,0,-6.64229,0
2022-08-24 13:27:26,0,-6.67163,0
2022-08-24 13:32:27,0,-6.67611,0
2022-08-24 13:37:28,0,-6.66869,0
2022-08-24 13:42:25,0,-6.67,0
2022-08-24 13:47:26,0,-6.673,0
2022-08-24 13:52:27,0,-6.67296,0
2022-08-24 13:57:27,0,-6.6941,0
2022-08-24 14:02:24,0,-6.67477,0
2022-08-24 14:07:25,0,-6.63715,0
2022-08-24 14:12:26,0,-6.63813,0
2022-08-24 14:17:27,0,-6.59379,0
2022-08-24 14:22:28,0,-6.62099,0
2022-08-24 14:27:25,0,-6.64563,0
2022-08-24 14:32:26,0,-6.64162,0
2022-08-24 14:37:27,0,-6.64886,0
2022-08-24 14:42:24,0,-6.64575,0
2022-08-24 14:47:25,0,-6.64315,0
2022-08-24 14:52:26,0,-6.66396,0
2022-08-24 14:57:27,0,-6.66395,0
2022-08-24 15:02:24,0,-6.64866,0
2022-08-24 15:07:26,0,-6.58183,0
2022-08-24 15:12:27,0,-6.58281,0
2022-08-24 15:17:28,0,-6.57816,0
2022-08-24 15:22:25,0,-6.58014,0
2022-08-24 15:27:26,0,-6.56453,0
2022-08-24 15:32:27,0,-6.5797,0
2022-08-24 15:37:28,0,-6.57576,0
2022-08-24 15:42:25,0,-6.57986,0
2022-08-24 15:47:26,0,-6.59396,0
2022-08-24 15:52:27,0,-6.59457,0
2022-08-24 15:57:28,0,-6.59349,0
2022-08-24 16:02:25,0,-6.57959,0
2022-08-24 16:07:26,0,-6.5901,0
2022-08-24 16:12:27,0,-6.5815,0
2022-08-24 16:17:28,0,-6.59356,0
2022-08-24 16:22:25,0,-6.59043,0
2022-08-24 16:27:26,0,-6.59448,0
2022-08-24 16:32:27,0,-6.60381,0
2022-08-24 16:37:28,0,-6.63118,0
2022-08-24 16:42:25,0,-6.6273,0
2022-08-24 16:47:26,0,-6.63612,0
2022-08-24 16:52:27,0,-6.64941,0
2022-08-24 16:57:28,0,-6.69076,0
2022-08-24 17:02:25,0,-6.64107,0
2022-08-24 17:07:26,0,-6.67897,0
2022-08-24 17:12:27,0,-6.70471,0
2022-08-24 17:17:28,0,-6.7215,0
2022-08-24 17:22:25,0,-6.71042,0
2022-08-24 17:27:26,0,-6.70821,0
2022-08-24 17:32:27,0,-6.69871,0
2022-08-24 17:37:28,0,-6.69432,0
2022-08-24 17:42:25,0,-6.68838,0
2022-08-24 17:47:26,0,-6.68956,0
2022-08-24 17:52:27,0,-6.68942,0
2022-08-24 17:57:28,0,-6.68813,0
2022-08-24 18:02:25,0,-6.67304,0
2022-08-24 18:07:26,0,-6.6627,0
2022-08-24 18:12:27,0,-6.67291,0
2022-08-24 18:17:28,0,-6.66899,0
2022-08-24 18:22:29,0,-6.66533,0
2022-08-24 18:27:26,0,-6.65918,0
2022-08-24 18:32:27,0,-6.64267,0
2022-08-24 18:37:26,0,-6.6851,0
2022-08-24 18:42:27,0,-6.64132,0
2022-08-24 18:47:25,0,-6.60939,0
2022-08-24 18:52:26,0,-6.59516,0
2022-08-24 18:57:27,0,-6.64243,0
2022-08-24 19:02:28,0,-6.6175,0
2022-08-24 19:07:25,0,-6.6026,0
2022-08-24 19:12:26,0,-6.62124,0
2022-08-24 19:17:27,0,-6.60815,0
2022-08-24 19:22:28,0,-6.62771,0
2022-08-24 19:27:25,0,-6.59707,0
2022-08-24 19:32:26,0,-6.59215,0
2022-08-24 19:37:27,0,-6.58219,0
2022-08-24 19:42:28,0,-6.54651,0
2022-08-24 19:47:25,0,-6.57224,0
2022-08-24 19:52:26,0,-6.54359,0
2022-08-24 19:57:27,0,-6.51379,0
2022-08-24 20:02:28,0,-6.59692,0
2022-08-24 20:07:25,0,-6.64729,0
2022-08-24 20:12:26,0,-6.60259,0
2022-08-24 20:17:27,0,-6.62022,0
2022-08-24 20:22:28,0,-6.5979,0
2022-08-24 20:27:25,0,-6.59696,0
2022-08-24 20:32:26,0,-6.58662,0
2022-08-24 20:37:27,0,-6.5629,0
2022-08-24 20:42:28,0,-6.58809,0
2022-08-24 20:47:25,0,-6.52754,0
2022-08-24 20:52:26,0,-6.56121,0
2022-08-24 20:57:27,0,-6.67429,0
2022-08-24 21:02:28,0,-6.68881,0
2022-08-24 21:07:25,0,-6.66899,0
2022-08-24 21:12:26,0,-6.66274,0
2022-08-24 21:17:27,0,-6.65283,0
2022-08-24 21:22:28,0,-6.65395,0
2022-08-24 21:27:25,0,-6.62381,0
