time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-24 00:00:00,121.254,121.056,121.416,121.211,121.015,121.372,242.674,242.245,242.901,0.033,0.036,0.033,0.033,0.036
2022-08-24 00:02:24,121.243,120.971,121.468,121.2,120.928,121.426,242.67,242.344,242.992,0.033,0.036,0.034,0.032,0.035
2022-08-24 00:07:25,121.227,121.083,121.378,121.184,121.04,121.336,242.665,242.381,242.867,0.033,0.035,0.033,0.032,0.035
2022-08-24 00:12:26,121.144,120.917,121.323,121.102,120.877,121.28,242.485,242.198,242.718,0.033,0.035,0.034,0.032,0.035
2022-08-24 00:17:27,121.12,120.949,121.277,121.078,120.906,121.235,242.416,242.196,242.71,0.033,0.035,0.033,0.032,0.036
2022-08-24 00:22:24,121.105,120.89,121.263,121.063,120.849,121.221,242.347,241.969,242.615,0.034,0.035,0.034,0.032,0.036
2022-08-24 00:27:25,120.999,120.715,121.209,120.956,120.673,121.166,242.146,241.718,242.45,0.033,0.035,0.033,0.032,0.035
2022-08-24 00:32:26,121.024,120.788,121.153,120.983,120.747,121.113,242.258,241.888,242.48,0.033,0.036,0.033,0.032,0.035
2022-08-24 00:37:26,120.966,120.582,121.128,120.924,120.542,121.086,242.117,241.535,242.344,0.032,0.035,0.034,0.032,0.036
2022-08-24 00:42:24,120.852,120.498,121.143,120.81,120.456,121.1,241.874,241.269,242.278,0.034,0.035,0.033,0.031,0.036
2022-08-24 00:47:25,120.697,120.436,120.885,120.655,120.394,120.842,241.556,241.141,241.843,0.033,0.036,0.032,0.031,0.035
2022-08-24 00:52:26,120.642,120.283,120.889,120.6,120.242,120.847,241.452,240.991,241.785,0.032,0.034,0.034,0.031,0.035
2022-08-24 00:57:27,120.756,120.412,121.098,120.714,120.372,121.057,241.699,241.094,242.25,0.033,0.035,0.033,0.032,0.035
2022-08-24 01:02:24,121.105,120.726,121.329,121.063,120.684,121.287,242.415,241.663,242.803,0.033,0.035,0.033,0.032,0.036
2022-08-24 01:07:25,121.22,121.016,121.368,121.178,120.974,121.324,242.643,242.261,242.889,0.034,0.035,0.033,0.032,0.035
2022-08-24 01:12:26,121.15,120.951,121.292,121.108,120.908,121.248,242.462,242.162,242.687,0.033,0.036,0.033,0.032,0.036
2022-08-24 01:17:27,121.178,120.973,121.316,121.136,120.93,121.272,242.536,242.238,242.763,0.033,0.034,0.033,0.032,0.035
2022-08-24 01:22:24,121.058,120.892,121.22,121.015,120.851,121.177,242.28,241.811,242.494,0.033,0.035,0.033,0.031,0.035
2022-08-24 01:27:25,121.009,120.684,121.17,120.967,120.641,121.128,242.183,241.78,242.383,0.033,0.036,0.033,0.032,0.037
2022-08-24 01:32:26,120.961,120.662,121.16,120.919,120.621,121.119,242.104,241.695,242.369,0.033,0.035,0.033,0.032,0.035
2022-08-24 01:37:27,120.904,120.698,121.142,120.863,120.657,121.099,241.981,241.655,242.265,0.032,0.035,0.033,0.032,0.035
2022-08-24 01:42:24,120.904,120.747,121.07,120.862,120.706,121.029,241.967,241.711,242.128,0.033,0.038,0.033,0.032,0.034
2022-08-24 01:47:25,120.838,120.479,121.121,120.794,120.439,121.076,241.858,241.259,242.317,1.068,1.466,1.068,0.034,1.466
2022-08-24 01:52:26,120.863,120.652,121.026,120.818,120.61,120.981,241.897,241.585,242.267,1.584,1.722,1.583,1.456,1.722
2022-08-24 01:57:27,120.857,120.645,121.028,120.813,120.601,120.985,241.884,241.455,242.178,1.763,1.811,1.762,1.727,1.811
2022-08-24 02:02:24,120.971,120.698,121.198,120.928,120.655,121.155,242.105,241.703,242.494,1.812,1.837,1.812,1.808,1.837
2022-08-24 02:07:25,121.021,120.796,121.214,120.977,120.752,121.169,242.201,241.821,242.519,1.826,1.84,1.826,1.822,1.84
2022-08-24 02:12:26,120.909,120.734,121.144,120.865,120.691,121.1,242.014,241.729,242.45,1.839,1.853,1.839,1.835,1.853
2022-08-24 02:17:27,121.004,120.841,121.17,120.96,120.796,121.126,242.17,241.722,242.435,1.854,1.87,1.854,1.853,1.869
2022-08-24 02:22:25,120.908,120.748,121.058,120.864,120.705,121.014,241.98,241.677,242.264,1.87,1.88,1.87,1.867,1.881
