time,Real (W),Reactive (VAR),Power Factor
2022-08-26 00:00:00,0,0,0
2022-08-26 00:04:48,49.0932,-1.06271,0.999766
2022-08-26 00:09:50,120.267,-6.43582,0.998571
2022-08-26 00:14:51,104.962,45.9212,0.916157
2022-08-26 00:19:48,320.9,126.03,0.930789
2022-08-26 00:24:49,391.766,133.648,0.946442
2022-08-26 00:29:50,415.089,136.634,0.949863
2022-08-26 00:34:51,418.847,137.052,0.950414
2022-08-26 00:39:48,421.852,137.204,0.950966
2022-08-26 00:44:49,425.646,137.396,0.951649
2022-08-26 00:49:50,429.227,137.93,0.952052
2022-08-26 00:54:51,431.994,137.998,0.952578
2022-08-26 00:59:48,435.262,138.27,0.953067
2022-08-26 01:04:49,265.273,91.089,0.945795
2022-08-26 01:09:50,10.5845,2.91822,0.964031
2022-08-26 01:14:51,0,-6.54473,0
2022-08-26 01:19:48,0,-6.54247,0
2022-08-26 01:24:49,0,-6.53454,0
2022-08-26 01:29:50,0,-6.53265,0
2022-08-26 01:34:51,0,-6.54468,0
2022-08-26 01:39:48,0,-6.53232,0
2022-08-26 01:44:49,0,-6.5239,0
2022-08-26 01:49:51,0,-6.50365,0
2022-08-26 01:54:52,0,-6.56372,0
2022-08-26 01:59:49,0,-6.61608,0
2022-08-26 02:04:50,0,-6.62486,0
2022-08-26 02:09:50,0,-6.63772,0
2022-08-26 02:14:52,0,-6.57875,0
2022-08-26 02:19:48,0,-6.61613,0
2022-08-26 02:24:50,0,-6.5697,0
2022-08-26 02:29:51,0,-6.59441,0
2022-08-26 02:34:52,0,-6.59785,0
2022-08-26 02:39:49,0,-6.59066,0
2022-08-26 02:44:50,0,-6.59315,0
2022-08-26 02:49:51,0,-6.61173,0
2022-08-26 02:54:52,0,-6.62146,0
2022-08-26 02:59:49,0,-6.62887,0
2022-08-26 03:04:50,0,-6.63808,0
2022-08-26 03:09:51,0,-6.64415,0
2022-08-26 03:14:52,0,-6.6468,0
2022-08-26 03:19:49,0,-6.64463,0
2022-08-26 03:24:50,0,-6.64837,0
2022-08-26 03:29:51,0,-6.65815,0
2022-08-26 03:34:52,0,-6.68268,0
2022-08-26 03:39:49,0,-6.63433,0
2022-08-26 03:44:50,0,-6.66069,0
2022-08-26 03:49:51,0,-6.66238,0
2022-08-26 03:54:52,0,-6.66577,0
2022-08-26 03:59:49,0,-6.66642,0
2022-08-26 04:04:50,0,-6.71055,0
2022-08-26 04:09:51,0,-6.74618,0
2022-08-26 04:14:52,0,-6.77136,0
2022-08-26 04:19:49,0,-6.77074,0
2022-08-26 04:24:50,0,-6.72101,0
2022-08-26 04:29:51,0,-6.66573,0
2022-08-26 04:34:52,0,-6.67994,0
2022-08-26 04:39:49,0,-6.70546,0
2022-08-26 04:44:50,0,-6.71117,0
2022-08-26 04:49:51,0,-6.71322,0
2022-08-26 04:54:50,0,-6.78357,0
2022-08-26 04:59:48,0,-6.71053,0
2022-08-26 05:04:49,0,-6.75005,0
2022-08-26 05:09:50,0,-6.65801,0
2022-08-26 05:14:51,0,-6.65107,0
2022-08-26 05:19:48,0,-6.63523,0
2022-08-26 05:24:49,0,-6.69391,0
2022-08-26 05:29:50,0,-6.67108,0
2022-08-26 05:34:51,0,-6.64382,0
2022-08-26 05:39:48,0,-6.70295,0
2022-08-26 05:44:49,0,-6.66486,0
2022-08-26 05:49:50,0,-6.68761,0
2022-08-26 05:54:51,0,-6.65925,0
2022-08-26 05:59:48,0,-6.69201,0
2022-08-26 06:04:49,0,-6.67349,0
2022-08-26 06:09:50,0,-6.64643,0
2022-08-26 06:14:51,0,-6.69914,0
2022-08-26 06:19:48,0,-6.67574,0
2022-08-26 06:24:49,0,-6.67458,0
2022-08-26 06:29:50,0,-6.66964,0
2022-08-26 06:34:51,0,-6.68221,0
2022-08-26 06:39:48,0,-6.70767,0
2022-08-26 06:44:49,0,-6.67944,0
2022-08-26 06:49:50,0,-6.70505,0
2022-08-26 06:54:51,0,-6.73864,0
2022-08-26 06:59:48,0,-6.69639,0
2022-08-26 07:04:49,0,-6.7208,0
2022-08-26 07:09:50,0,-6.71682,0
2022-08-26 07:14:51,0,-6.70942,0
2022-08-26 07:19:48,0,-6.75315,0
2022-08-26 07:24:49,0,-6.72267,0
2022-08-26 07:29:50,0,-6.68328,0
2022-08-26 07:34:51,0,-6.71356,0
2022-08-26 07:39:48,0,-6.76345,0
2022-08-26 07:44:49,0,-6.72959,0
2022-08-26 07:49:50,0,-6.71905,0
2022-08-26 07:54:51,0,-6.6999,0
2022-08-26 07:59:52,0,-6.70081,0
2022-08-26 08:04:49,0,-6.69478,0
2022-08-26 08:09:50,0,-6.7112,0
2022-08-26 08:14:51,0,-6.71749,0
2022-08-26 08:19:52,0,-6.71258,0
2022-08-26 08:24:49,0,-6.688,0
2022-08-26 08:29:50,0,-6.68574,0
2022-08-26 08:34:51,0,-6.69766,0
2022-08-26 08:39:52,0,-6.70355,0
2022-08-26 08:44:49,0,-6.71963,0
2022-08-26 08:49:50,0,-6.72544,0
2022-08-26 08:54:51,0,-6.73566,0
2022-08-26 08:59:52,0,-6.74657,0
2022-08-26 09:04:49,0,-6.75885,0
2022-08-26 09:09:50,0,-6.7647,0
2022-08-26 09:14:51,0,-6.77606,0
2022-08-26 09:19:52,0,-6.71672,0
2022-08-26 09:24:49,0,-6.75109,0
2022-08-26 09:29:50,0,-6.76107,0
2022-08-26 09:34:51,0,-6.77844,0
2022-08-26 09:39:52,0,-6.7832,0
2022-08-26 09:44:49,0,-6.7894,0
2022-08-26 09:49:50,0,-6.78714,0
2022-08-26 09:54:51,0,-6.652,0
2022-08-26 09:59:52,0,-6.64367,0
2022-08-26 10:04:49,0,-6.64744,0
2022-08-26 10:09:50,0,-6.67731,0
2022-08-26 10:14:51,0,-6.72288,0
2022-08-26 10:19:52,0,-6.72219,0
2022-08-26 10:24:49,0,-6.73406,0
2022-08-26 10:29:50,0,-6.73909,0
2022-08-26 10:34:51,0,-6.74872,0
2022-08-26 10:39:52,0,-6.74823,0
2022-08-26 10:44:49,0,-6.75124,0
2022-08-26 10:49:50,0,-6.75038,0
2022-08-26 10:54:51,0,-6.75246,0
2022-08-26 10:59:52,0,-6.76012,0
2022-08-26 11:04:49,0,-6.74662,0
2022-08-26 11:09:50,0,-6.76547,0
2022-08-26 11:14:50,0,-6.68011,0
2022-08-26 11:19:51,0,-6.6612,0
2022-08-26 11:24:49,0,-6.64155,0
2022-08-26 11:29:50,0,-6.66775,0
2022-08-26 11:34:51,0,-6.67149,0
2022-08-26 11:39:52,0,-6.67662,0
2022-08-26 11:44:49,0,-6.6698,0
2022-08-26 11:49:50,0,-6.67686,0
2022-08-26 11:54:51,0,-6.68632,0
2022-08-26 11:59:52,0,-6.68173,0
2022-08-26 12:04:49,0,-6.70403,0
2022-08-26 12:09:50,0,-6.71366,0
2022-08-26 12:14:51,0,-6.71522,0
2022-08-26 12:19:52,0,-6.71464,0
2022-08-26 12:24:48,0,-6.72985,0
2022-08-26 12:29:49,0,-6.72895,0
2022-08-26 12:34:50,0,-6.72302,0
2022-08-26 12:39:51,0,-6.72659,0
2022-08-26 12:44:52,0,-6.7501,0
2022-08-26 12:49:49,0,-6.71364,0
2022-08-26 12:54:50,0,-6.74547,0
2022-08-26 12:59:51,0,-6.75462,0
2022-08-26 13:04:52,0,-6.76047,0
2022-08-26 13:09:49,0,-6.73039,0
2022-08-26 13:14:50,0,-6.7342,0
2022-08-26 13:19:51,0,-6.71121,0
2022-08-26 13:24:52,0,-6.71826,0
2022-08-26 13:29:49,0,-6.71622,0
2022-08-26 13:34:50,0,-6.70581,0
2022-08-26 13:39:51,0,-6.7056,0
2022-08-26 13:44:52,0,-6.7028,0
2022-08-26 13:49:49,0,-6.69237,0
2022-08-26 13:54:50,0,-6.69589,0
2022-08-26 13:59:51,0,-6.7132,0
2022-08-26 14:04:52,0,-6.70793,0
2022-08-26 14:09:49,0,-6.71206,0
2022-08-26 14:14:50,0,-6.66872,0
2022-08-26 14:19:51,0,-6.69007,0
2022-08-26 14:24:52,0,-6.68509,0
2022-08-26 14:29:49,0,-6.71748,0
2022-08-26 14:34:50,0,-6.66462,0
2022-08-26 14:39:51,0,-6.69926,0
2022-08-26 14:44:52,0,-6.71099,0
2022-08-26 14:49:49,0,-6.72706,0
2022-08-26 14:54:50,0,-6.72857,0
2022-08-26 14:59:51,0,-6.72012,0
2022-08-26 15:04:52,0,-6.67941,0
2022-08-26 15:09:49,0,-6.64546,0
2022-08-26 15:14:50,0,-6.63862,0
2022-08-26 15:19:51,0,-6.637,0
2022-08-26 15:24:52,0,-6.63508,0
2022-08-26 15:29:49,0,-6.66586,0
2022-08-26 15:34:50,0,-6.63653,0
2022-08-26 15:39:51,0,-6.6228,0
2022-08-26 15:44:52,0,-6.59941,0
2022-08-26 15:49:49,0,-6.63591,0
2022-08-26 15:54:50,0,-6.61742,0
2022-08-26 15:59:51,0,-6.64108,0
2022-08-26 16:04:52,0,-6.62098,0
2022-08-26 16:09:49,0,-6.62819,0
2022-08-26 16:14:50,0,-6.63467,0
2022-08-26 16:19:51,0,-6.64044,0
2022-08-26 16:24:53,0,-6.62808,0
2022-08-26 16:29:50,0,-6.64068,0
2022-08-26 16:34:51,0,-6.6369,0
2022-08-26 16:39:52,0,-6.65652,0
2022-08-26 16:44:53,0,-6.62088,0
2022-08-26 16:49:50,0,-6.67972,0
2022-08-26 16:54:51,0,-6.65827,0
2022-08-26 16:59:52,0,-6.66842,0
2022-08-26 17:04:53,0,-6.65483,0
2022-08-26 17:09:50,0,-6.65643,0
2022-08-26 17:14:51,0,-6.63612,0
2022-08-26 17:19:52,0,-6.65722,0
2022-08-26 17:24:53,0,-6.62169,0
2022-08-26 17:29:50,0,-6.62367,0
2022-08-26 17:34:51,0,-6.61353,0
2022-08-26 17:39:52,0,-6.61419,0
2022-08-26 17:44:53,0,-6.60784,0
2022-08-26 17:49:50,0,-6.60135,0
2022-08-26 17:54:51,0,-6.63312,0
2022-08-26 17:59:52,0,-6.59224,0
2022-08-26 18:04:53,0,-6.63179,0
2022-08-26 18:09:50,0,-6.67374,0
2022-08-26 18:14:51,0,-6.64263,0
2022-08-26 18:19:51,0,-6.64062,0
2022-08-26 18:24:52,0,-6.64402,0
2022-08-26 18:29:49,0,-6.65955,0
2022-08-26 18:34:50,0,-6.62634,0
2022-08-26 18:39:51,0,-6.61466,0
2022-08-26 18:44:52,0,-6.62697,0
2022-08-26 18:49:49,0,-6.63005,0
2022-08-26 18:54:50,0,-6.62431,0
2022-08-26 18:59:51,0,-6.63084,0
2022-08-26 19:04:52,0,-6.63111,0
2022-08-26 19:09:49,0,-6.63134,0
2022-08-26 19:14:50,0,-6.62582,0
2022-08-26 19:19:51,0,-6.63058,0
2022-08-26 19:24:52,0,-6.62849,0
2022-08-26 19:26:01,0,-6.62849,0
