time,Real (W),Reactive (VAR),Power Factor
2022-08-25 00:00:00,0,0,0
2022-08-25 00:03:59,0,0,0
2022-08-25 00:09:00,0,0,0
2022-08-25 00:14:01,0,0,0
2022-08-25 00:18:59,0,0,0
2022-08-25 00:24:00,0,0,0
2022-08-25 00:29:01,0,0,0
2022-08-25 00:34:02,0,0,0
2022-08-25 00:38:58,0,0,0
2022-08-25 00:44:00,0,0,0
2022-08-25 00:49:01,0,0,0
2022-08-25 00:54:01,0,0,0
2022-08-25 00:58:58,0,0,0
2022-08-25 01:03:59,0,0,0
2022-08-25 01:09:00,0,0,0
2022-08-25 01:14:01,0,0,0
2022-08-25 01:18:58,0,0,0
2022-08-25 01:23:59,0,0,0
2022-08-25 01:29:01,0,0,0
2022-08-25 01:34:02,0,0,0
2022-08-25 01:38:58,0,0,0
2022-08-25 01:43:59,0,0,0
2022-08-25 01:49:00,0,0,0
2022-08-25 01:56:03,126.042,-3.06565,0.999704
2022-08-25 02:01:04,59.1251,-6.42084,0.994155
2022-08-25 02:06:05,193.537,84.8694,0.915815
2022-08-25 02:11:02,345.087,126.425,0.93897
2022-08-25 02:16:03,400.804,133.827,0.948523
2022-08-25 02:21:04,414.19,135.697,0.9503
2022-08-25 02:26:05,415.643,135.392,0.950827
2022-08-25 02:31:02,419.7,135.698,0.951502
2022-08-25 02:36:03,422.109,135.595,0.952083
2022-08-25 02:41:04,427.064,137.356,0.951973
2022-08-25 02:46:05,430.12,138.221,0.952049
2022-08-25 02:51:02,434.419,138.877,0.952511
2022-08-25 02:56:03,435.785,138.722,0.952886
2022-08-25 03:01:04,80.5069,35.8031,0.913718
2022-08-25 03:06:05,0,-6.64846,0
2022-08-25 03:11:02,0,-6.64123,0
2022-08-25 03:16:03,0,-6.61944,0
2022-08-25 03:21:04,0,-6.65857,0
2022-08-25 03:26:05,0,-6.61012,0
2022-08-25 03:31:06,0,-6.63465,0
2022-08-25 03:36:03,0,-6.63388,0
2022-08-25 03:41:04,0,-6.62251,0
2022-08-25 03:46:05,0,-6.64601,0
2022-08-25 03:51:06,0,-6.62044,0
2022-08-25 03:56:03,0,-6.60954,0
2022-08-25 04:01:04,0,-6.6424,0
2022-08-25 04:06:05,0,-6.71007,0
2022-08-25 04:11:06,0,-6.68474,0
2022-08-25 04:16:03,0,-6.67116,0
2022-08-25 04:21:04,0,-6.71891,0
2022-08-25 04:26:05,0,-6.70082,0
2022-08-25 04:31:02,0,-6.68956,0
2022-08-25 04:36:03,0,-6.72529,0
2022-08-25 04:41:04,0,-6.7286,0
2022-08-25 04:46:05,0,-6.70692,0
2022-08-25 04:51:02,0,-6.73786,0
2022-08-25 04:56:03,0,-6.77309,0
2022-08-25 05:01:04,0,-6.75364,0
2022-08-25 05:06:05,0,-6.7471,0
2022-08-25 05:11:06,0,-6.68644,0
2022-08-25 05:16:03,0,-6.68249,0
2022-08-25 05:21:04,0,-6.72591,0
2022-08-25 05:26:05,0,-6.72473,0
2022-08-25 05:31:06,0,-6.73816,0
2022-08-25 05:36:03,0,-6.75856,0
2022-08-25 05:41:04,0,-6.7649,0
2022-08-25 05:46:05,0,-6.72975,0
2022-08-25 05:51:06,0,-6.62978,0
2022-08-25 05:56:03,0,-6.6371,0
2022-08-25 06:01:04,0,-6.63046,0
2022-08-25 06:06:05,0,-6.61341,0
2022-08-25 06:11:06,0,-6.60983,0
2022-08-25 06:16:03,0,-6.62503,0
2022-08-25 06:21:04,0,-6.60768,0
2022-08-25 06:26:05,0,-6.60383,0
2022-08-25 06:31:06,0,-6.60999,0
2022-08-25 06:36:03,0,-6.61288,0
2022-08-25 06:41:04,0,-6.62295,0
2022-08-25 06:46:05,0,-6.63003,0
2022-08-25 06:51:06,0,-6.62373,0
2022-08-25 06:56:03,0,-6.63736,0
2022-08-25 07:01:04,0,-6.65917,0
2022-08-25 07:06:05,0,-6.6443,0
2022-08-25 07:11:06,0,-6.6418,0
2022-08-25 07:16:03,0,-6.65266,0
2022-08-25 07:21:03,0,-6.69213,0
2022-08-25 07:26:05,0,-6.63675,0
2022-08-25 07:31:05,0,-6.65909,0
2022-08-25 07:36:02,0,-6.63644,0
2022-08-25 07:41:03,0,-6.6442,0
2022-08-25 07:46:04,0,-6.64042,0
2022-08-25 07:51:05,0,-6.63701,0
2022-08-25 07:56:02,0,-6.6096,0
2022-08-25 08:01:03,0,-6.66615,0
2022-08-25 08:06:04,0,-6.65772,0
2022-08-25 08:11:05,0,-6.67023,0
2022-08-25 08:16:02,0,-6.67706,0
2022-08-25 08:21:03,0,-6.61738,0
2022-08-25 08:26:04,0,-6.63445,0
2022-08-25 08:31:05,0,-6.63543,0
2022-08-25 08:36:06,0,-6.66686,0
2022-08-25 08:41:04,0,-6.63095,0
2022-08-25 08:46:05,0,-6.6414,0
2022-08-25 08:51:06,0,-6.69164,0
2022-08-25 08:56:03,0,-6.6739,0
2022-08-25 09:01:04,0,-6.68891,0
2022-08-25 09:06:05,0,-6.69518,0
2022-08-25 09:11:05,0,-6.75255,0
2022-08-25 09:16:06,0,-6.67468,0
2022-08-25 09:21:03,0,-6.73864,0
2022-08-25 09:26:05,0,-6.70645,0
2022-08-25 09:31:06,0,-6.7346,0
2022-08-25 09:36:07,0,-6.72216,0
2022-08-25 09:41:03,0,-6.733,0
2022-08-25 09:46:04,0,-6.73756,0
2022-08-25 09:51:05,0,-6.73466,0
2022-08-25 09:56:06,0,-6.74366,0
2022-08-25 10:01:03,0,-6.75356,0
2022-08-25 10:06:04,0,-6.68819,0
2022-08-25 10:11:05,0,-6.66436,0
2022-08-25 10:16:06,0,-6.65527,0
2022-08-25 10:21:03,0,-6.64779,0
2022-08-25 10:26:04,0,-6.67103,0
2022-08-25 10:31:05,0,-6.65203,0
2022-08-25 10:36:06,0,-6.68092,0
2022-08-25 10:41:03,0,-6.69256,0
2022-08-25 10:46:04,0,-6.68698,0
2022-08-25 10:51:05,0,-6.6923,0
2022-08-25 10:56:06,0,-6.69718,0
2022-08-25 11:01:03,0,-6.70751,0
2022-08-25 11:06:04,0,-6.72854,0
2022-08-25 11:11:05,0,-6.68003,0
2022-08-25 11:16:06,0,-6.72034,0
2022-08-25 11:21:03,0,-6.70536,0
2022-08-25 11:26:04,0,-6.68947,0
2022-08-25 11:31:05,0,-6.69921,0
2022-08-25 11:36:06,0,-6.70741,0
2022-08-25 11:41:03,0,-6.69782,0
2022-08-25 11:46:04,0,-6.71122,0
2022-08-25 11:51:05,0,-6.71528,0
2022-08-25 11:56:06,0,-6.72025,0
2022-08-25 12:01:03,0,-6.73535,0
2022-08-25 12:06:04,0,-6.73717,0
2022-08-25 12:11:05,0,-6.74629,0
2022-08-25 12:16:06,0,-6.74297,0
2022-08-25 12:21:03,0,-6.75515,0
2022-08-25 12:26:04,0,-6.76079,0
2022-08-25 12:31:05,0,-6.76946,0
2022-08-25 12:36:06,0,-6.76661,0
2022-08-25 12:41:03,0,-6.77544,0
2022-08-25 12:46:04,0,-6.78139,0
2022-08-25 12:51:05,0,-6.77357,0
2022-08-25 12:56:06,0,-6.7694,0
2022-08-25 13:01:03,0,-6.77832,0
2022-08-25 13:06:04,0,-6.78887,0
2022-08-25 13:11:05,0,-6.7858,0
2022-08-25 13:16:06,0,-6.79056,0
2022-08-25 13:21:03,0,-6.7911,0
2022-08-25 13:26:03,0,-6.82093,0
2022-08-25 13:31:05,0,-6.7769,0
2022-08-25 13:36:06,0,-6.64145,0
2022-08-25 13:41:03,0,-6.63814,0
2022-08-25 13:46:04,0,-6.63855,0
2022-08-25 13:51:05,0,-6.61371,0
2022-08-25 13:56:06,0,-6.63195,0
2022-08-25 14:01:07,0,-6.62771,0
2022-08-25 14:06:04,0,-6.63085,0
2022-08-25 14:11:05,0,-6.72548,0
2022-08-25 14:16:06,0,-6.77217,0
2022-08-25 14:21:07,0,-6.75523,0
2022-08-25 14:26:04,0,-6.74159,0
2022-08-25 14:31:05,0,-6.74862,0
2022-08-25 14:36:06,0,-6.74509,0
2022-08-25 14:41:03,0,-6.75774,0
2022-08-25 14:46:04,0,-6.75707,0
2022-08-25 14:51:05,0,-6.64191,0
2022-08-25 14:56:06,0,-6.62561,0
2022-08-25 15:01:03,0,-6.61927,0
2022-08-25 15:06:04,0,-6.5763,0
2022-08-25 15:11:05,0,-6.55757,0
2022-08-25 15:16:06,0,-6.5565,0
2022-08-25 15:21:03,0,-6.60649,0
2022-08-25 15:26:04,0,-6.68377,0
2022-08-25 15:31:05,0,-6.7023,0
2022-08-25 15:36:06,0,-6.70273,0
2022-08-25 15:41:07,0,-6.6922,0
2022-08-25 15:46:04,0,-6.68299,0
2022-08-25 15:51:05,0,-6.7024,0
2022-08-25 15:56:06,0,-6.70991,0
2022-08-25 16:01:07,0,-6.70036,0
2022-08-25 16:06:04,0,-6.67457,0
