time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-23 00:00:00,120.882,120.762,121.045,120.71,120.591,120.872,241.85,241.658,242.141,0.009,0.016,0.007,0.004,0.013
2022-08-23 00:02:26,120.849,120.694,120.994,120.677,120.521,120.821,241.73,241.428,241.904,0.009,0.015,0.009,0.005,0.014
2022-08-23 00:07:23,120.758,120.481,120.953,120.586,120.311,120.78,241.538,241.09,241.922,0.01,0.015,0.008,0.005,0.012
2022-08-23 00:12:24,120.588,120.437,120.73,120.415,120.266,120.557,241.224,241.015,241.396,0.008,0.016,0.007,0.004,0.012
2022-08-23 00:17:25,120.59,120.459,120.712,120.418,120.289,120.54,241.208,240.977,241.336,0.008,0.015,0.007,0.004,0.014
2022-08-23 00:22:25,120.567,120.379,120.75,120.396,120.207,120.578,241.177,240.866,241.431,0.009,0.015,0.006,0.004,0.012
2022-08-23 00:27:26,120.481,120.254,120.671,120.309,120.083,120.498,241.021,240.632,241.26,0.01,0.017,0.008,0.004,0.011
2022-08-23 00:32:22,120.436,120.259,120.572,120.264,120.088,120.399,240.884,240.681,241.033,0.01,0.015,0.008,0.004,0.014
2022-08-23 00:37:23,120.317,120.051,120.472,120.145,119.88,120.3,240.692,240.266,240.965,0.009,0.016,0.007,0.005,0.013
2022-08-23 00:42:25,120.231,119.968,120.414,120.059,119.798,120.243,240.507,239.976,240.694,0.01,0.017,0.009,0.004,0.012
2022-08-23 00:47:26,120.098,119.82,120.277,119.927,119.648,120.105,240.202,239.599,240.466,0.011,0.014,0.01,0.005,0.014
2022-08-23 00:52:23,120.168,119.931,120.403,119.997,119.759,120.231,240.373,239.948,240.787,0.009,0.016,0.007,0.004,0.014
2022-08-23 00:57:24,120.341,120.127,120.514,120.17,119.954,120.343,240.708,240.425,240.932,0.009,0.013,0.008,0.004,0.014
2022-08-23 01:02:25,120.324,120.098,120.462,120.152,119.927,120.29,240.643,240.269,240.889,0.009,0.013,0.006,0.004,0.012
2022-08-23 01:07:22,120.153,119.832,120.369,119.98,119.66,120.198,240.309,239.785,240.635,0.009,0.016,0.007,0.004,0.016
2022-08-23 01:12:23,120.058,119.779,120.316,119.887,119.607,120.143,240.119,239.527,240.452,0.01,0.018,0.008,0.004,0.013
2022-08-23 01:17:24,120.058,119.838,120.258,119.887,119.668,120.087,240.129,239.541,240.301,0.009,0.015,0.007,0.004,0.015
2022-08-23 01:22:25,120.058,119.89,120.202,119.887,119.719,120.03,240.094,239.738,240.284,0.01,0.015,0.008,0.004,0.011
2022-08-23 01:27:22,119.982,119.746,120.136,119.811,119.575,119.965,239.975,239.376,240.219,0.012,0.013,0.007,0.004,0.013
2022-08-23 01:32:23,119.954,119.465,120.118,119.783,119.305,119.946,239.869,238.89,240.11,0.076,3.625,0.077,0.005,3.628
2022-08-23 01:37:24,119.906,119.406,120.068,119.736,119.244,119.896,239.822,238.888,240.053,0.014,0.017,0.015,0.014,0.019
2022-08-23 01:42:25,119.859,119.598,120.037,119.687,119.428,119.864,239.72,239.102,239.938,0.016,0.018,0.017,0.014,0.019
2022-08-23 01:47:26,119.763,119.569,119.924,119.589,119.397,119.75,239.501,238.98,239.757,0.015,0.018,0.015,0.014,0.02
2022-08-23 01:52:23,120.492,119.729,120.699,120.318,119.558,120.526,240.982,239.31,241.304,0.016,0.017,0.017,0.014,0.019
2022-08-23 01:57:24,120.813,120.525,120.996,120.639,120.351,120.822,241.648,241.229,241.924,0.013,0.018,0.016,0.014,0.019
2022-08-23 02:02:25,120.791,120.671,120.907,120.615,120.497,120.731,241.629,241.339,241.89,0.014,0.016,0.017,0.014,0.018
2022-08-23 02:07:26,120.769,120.524,120.945,120.596,120.35,120.771,241.568,240.986,241.983,0.015,0.018,0.017,0.014,0.02
2022-08-23 02:12:23,120.713,120.45,120.844,120.538,120.276,120.668,241.438,240.978,241.697,0.014,0.019,0.016,0.014,0.02
2022-08-23 02:17:24,120.781,120.572,120.941,120.606,120.398,120.767,241.563,241.224,241.789,0.016,0.019,0.016,0.014,0.02
2022-08-23 02:22:25,120.702,120.449,120.912,120.528,120.275,120.736,241.454,240.879,241.71,0.014,0.018,0.017,0.014,0.018
2022-08-23 02:27:22,120.643,120.488,120.803,120.468,120.314,120.628,241.323,241.123,241.525,0.013,0.017,0.015,0.013,0.021
2022-08-23 02:32:23,120.756,120.328,121.333,120.581,120.155,121.159,241.572,240.942,242.697,0.014,0.018,0.016,0.014,0.021
2022-08-23 02:37:24,120.788,120.631,120.931,120.615,120.458,120.758,241.605,241.395,241.793,0.014,0.019,0.015,0.014,0.018
2022-08-23 02:42:25,120.725,120.441,120.894,120.552,120.268,120.721,241.461,241.02,241.759,0.016,0.017,0.015,0.014,0.024
2022-08-23 02:47:22,120.723,120.48,120.884,120.551,120.308,120.71,241.452,241.106,241.627,0.013,0.018,0.015,0.014,0.021
2022-08-23 02:52:23,120.641,120.492,120.759,120.469,120.32,120.587,241.313,241.042,241.536,0.014,0.019,0.016,0.014,0.019
2022-08-23 02:57:24,120.572,120.355,120.698,120.399,120.182,120.527,241.156,240.826,241.369,0.015,0.018,0.017,0.014,0.02
2022-08-23 03:02:25,120.585,120.295,120.928,120.413,120.124,120.756,241.206,240.693,241.857,0.013,0.021,0.015,0.014,0.018
2022-08-23 03:07:26,120.652,120.437,120.829,120.48,120.265,120.656,241.346,240.953,241.645,0.014,0.018,0.016,0.014,0.019
2022-08-23 03:12:23,120.739,120.467,120.978,120.566,120.295,120.804,241.508,240.921,241.851,0.013,0.018,0.015,0.014,0.021
2022-08-23 03:17:24,120.834,120.699,120.963,120.661,120.526,120.789,241.696,241.498,241.874,0.013,0.017,0.016,0.014,0.021
2022-08-23 03:22:25,120.745,120.54,120.912,120.573,120.368,120.739,241.486,241.171,241.75,0.014,0.018,0.015,0.014,0.02
2022-08-23 03:27:26,120.748,120.59,120.873,120.576,120.418,120.7,241.529,241.229,241.702,0.013,0.017,0.016,0.014,0.02
2022-08-23 03:32:23,120.76,120.584,120.929,120.587,120.412,120.758,241.568,241.311,241.909,0.015,0.018,0.015,0.014,0.019
2022-08-23 03:37:24,120.746,120.551,120.933,120.572,120.378,120.76,241.535,241.141,241.879,0.014,0.018,0.016,0.014,0.018
2022-08-23 03:42:25,120.829,120.708,121.049,120.656,120.535,120.876,241.687,241.427,241.981,0.014,0.02,0.016,0.014,0.02
2022-08-23 03:47:26,120.8,120.629,120.98,120.628,120.457,120.807,241.633,241.368,241.876,0.015,0.019,0.015,0.014,0.02
2022-08-23 03:52:23,120.698,120.453,120.85,120.525,120.281,120.677,241.439,241.069,241.668,0.013,0.017,0.016,0.014,0.019
2022-08-23 03:57:24,120.756,120.573,120.883,120.584,120.402,120.71,241.531,241.38,241.694,0.014,0.017,0.016,0.014,0.021
2022-08-23 04:02:25,121.167,120.722,121.717,120.994,120.549,121.543,242.362,241.415,243.46,0.014,0.018,0.015,0.014,0.019
2022-08-23 04:07:26,121.653,121.506,121.73,121.479,121.333,121.556,243.366,243.141,243.57,0.014,0.018,0.015,0.014,0.019
2022-08-23 04:12:23,121.719,121.515,122.002,121.545,121.342,121.828,243.553,243.18,244.027,0.013,0.019,0.016,0.014,0.019
2022-08-23 04:17:24,121.927,121.805,122.159,121.753,121.631,121.985,243.987,243.795,244.24,0.016,0.019,0.017,0.014,0.019
2022-08-23 04:22:25,122.037,121.898,122.186,121.863,121.724,122.011,244.215,243.94,244.459,0.014,0.018,0.016,0.014,0.018
2022-08-23 04:27:26,122.035,121.85,122.246,121.86,121.676,122.071,244.203,243.924,244.454,0.014,0.019,0.015,0.014,0.019
2022-08-23 04:32:23,122.077,121.913,122.326,121.902,121.737,122.153,244.296,244,244.644,0.015,0.019,0.018,0.014,0.019
2022-08-23 04:37:24,122.257,122.131,122.418,122.083,121.955,122.244,244.618,244.47,244.818,0.015,0.019,0.016,0.014,0.02
2022-08-23 04:42:25,122.3,122.123,122.471,122.126,121.947,122.297,244.73,244.414,244.99,0.014,0.022,0.016,0.014,0.021
2022-08-23 04:47:26,121.707,121.336,122.478,121.533,121.164,122.303,243.48,242.875,245.061,0.014,0.02,0.017,0.014,0.018
2022-08-23 04:52:23,121.576,121.405,121.745,121.403,121.232,121.571,243.206,243.032,243.421,0.014,0.02,0.016,0.014,0.018
2022-08-23 04:57:24,121.65,121.448,121.826,121.476,121.275,121.65,243.366,243.087,243.639,0.017,0.018,0.016,0.014,0.019
2022-08-23 05:02:25,121.726,121.56,121.895,121.553,121.386,121.721,243.556,243.273,243.83,0.014,0.018,0.017,0.014,0.02
2022-08-23 05:07:26,121.883,121.717,122.055,121.709,121.542,121.88,243.895,243.576,244.13,0.015,0.018,0.015,0.014,0.019
2022-08-23 05:12:23,121.933,121.803,122.074,121.758,121.629,121.899,243.957,243.763,244.138,0.014,0.018,0.016,0.014,0.02
2022-08-23 05:17:24,121.967,121.827,122.115,121.793,121.655,121.939,244.024,243.802,244.294,0.015,0.018,0.016,0.014,0.022
2022-08-23 05:22:25,122.08,121.959,122.257,121.906,121.783,122.083,244.269,244.081,244.548,0.016,0.018,0.017,0.014,0.019
2022-08-23 05:27:26,122.13,121.86,122.301,121.954,121.685,122.127,244.387,243.916,244.727,0.015,0.019,0.016,0.014,0.021
